Date,Open,High,Low,Close,Volume
7/16/2015 15:30:00,49250,51200,49150,50500,376205
7/17/2015 15:30:00,51300,51700,50200,51400,440946
7/20/2015 15:30:00,51800,52900,51100,52500,484155
7/21/2015 15:30:00,53500,54700,51400,51800,589528
7/22/2015 15:30:00,52300,56400,52200,54600,1420799
7/23/2015 15:30:00,55000,55100,51700,51700,696986
7/24/2015 15:30:00,52200,53400,51500,52600,384800
7/27/2015 15:30:00,52000,53300,50200,50300,300616
7/28/2015 15:30:00,49700,51400,49500,51200,232149
7/29/2015 15:30:00,51800,53400,50800,51900,366283
7/30/2015 15:30:00,52500,53700,51300,51800,295174
7/31/2015 15:30:00,51700,53000,50900,53000,234133
8/3/2015 15:30:00,53500,55600,53100,55300,585015
8/4/2015 15:30:00,55400,56200,54100,55200,398585
8/5/2015 15:30:00,55800,59400,55300,56100,897750
8/6/2015 15:30:00,57100,57200,55400,56000,312523
8/7/2015 15:30:00,55600,56500,54400,55000,267979
8/10/2015 15:30:00,54800,56700,54300,56600,282894
8/11/2015 15:30:00,56900,61900,56700,57700,1467586
8/12/2015 15:30:00,58700,60000,55300,57700,778325
8/13/2015 15:30:00,57800,59700,57300,59500,473880
8/17/2015 15:30:00,58200,60800,58200,59500,618998
8/18/2015 15:30:00,59600,60100,56700,58700,458561
8/19/2015 15:30:00,57700,58300,53100,54500,612031
8/20/2015 15:30:00,53600,56700,53200,54600,304931
8/21/2015 15:30:00,52500,54600,51700,53700,359971
8/24/2015 15:30:00,54200,55000,50800,51400,339366
8/25/2015 15:30:00,52400,56400,51600,55700,357676
8/26/2015 15:30:00,55600,57400,54700,56600,284996
8/27/2015 15:30:00,57400,58500,56800,57900,302508
8/28/2015 15:30:00,58900,59400,57400,58200,207135
8/31/2015 15:30:00,58200,59100,57100,58200,167584
9/1/2015 15:30:00,58100,59400,57100,57100,285944
9/2/2015 15:30:00,56000,59800,55700,59800,356782
9/3/2015 15:30:00,60600,61000,58300,59300,319979
9/4/2015 15:30:00,59300,59300,56800,57000,276961
9/7/2015 15:30:00,57000,59500,56300,59400,276641
9/8/2015 15:30:00,59600,60200,58500,59000,269957
9/9/2015 15:30:00,60000,60300,58200,59200,256211
9/10/2015 15:30:00,58400,60200,57400,59300,316616
9/11/2015 15:30:00,59800,59800,58200,59100,169118
9/14/2015 15:30:00,59300,59500,57200,57200,140851
9/15/2015 15:30:00,57700,58500,55700,56800,206754
9/16/2015 15:30:00,57600,57700,56400,57000,149415
9/17/2015 15:30:00,57900,58200,54100,54500,394739
9/18/2015 15:30:00,55100,56600,54700,56300,191383
9/21/2015 15:30:00,55100,56100,55000,55400,82039
9/22/2015 15:30:00,55600,57000,55300,56100,118038
